product_name,category,energy_kcal_100g,fat_100g,sugars_100g,carbohydrates_100g,serving_size_g,packaging_quantity,source_url
Pâte à tartiner noisettes et cacao,"Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads",551.0,34.0,51.0,53.0,10.0,,https://world.openfoodfacts.org/product/3608580065340
Excellence Noir Puissant 85% Cacao,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette",584.0,46.0,15.0,22.0,100.0,,https://world.openfoodfacts.org/product/3046920022606
Fourrés Chocolat Noir,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Chocolate biscuits, Filled biscuits, Dark chocolate biscuits, Sandwich biscuits",481.0,20.0,27.0,65.0,50.0,,https://world.openfoodfacts.org/product/3229820100234
Lait Entier UHT,"Produits laitiers,Laits,Laits homogénéisés,Laits UHT,Laits entiers,Lait entier UHT",58.0,3.63,4.2,4.8,100.0,,https://world.openfoodfacts.org/product/6111242100220
Skyr nature 0%,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,Skyrs,Plain skyrs",57.0,0.105,3.6,3.6,100.0,,https://world.openfoodfacts.org/product/3329770077003
Krisprolls complets sans sucres ajoutés,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Breads,Toasts,Toasted bread rolls",400.0,6.6,1.1,68.0,13.0,,https://world.openfoodfacts.org/product/7311070032611
14 Maxi Tranches complet sans sucres ajoutés,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Breads,Sliced breads,Wholemeal breads,Wholemeal sliced breads",243.0,3.0,3.8,42.0,39.3,,https://world.openfoodfacts.org/product/3029330022428
Henry’s,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits",440.0,10.8,24.2,76.5,85.0,,https://world.openfoodfacts.org/product/3362600011006
PESTO alla GENOVESE,"Condiments,Sauces,Sauces pour pâtes,Sauces Pesto,en:Cooking Sauces,Pestos au basilic",492.0,47.0,5.0,11.0,47.5,,https://world.openfoodfacts.org/product/8076809513753
cruesly mélange de noix,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Mueslis,Cereals with nuts,Crunchy cereal clusters,Cereal clusters with nuts",462.0,19.0,12.0,57.0,45.0,,https://world.openfoodfacts.org/product/3168930010265
Momo black,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,en:Biscuit-snack-with-chocolate-filling",497.0,21.0,27.0,70.0,36.0,,https://world.openfoodfacts.org/product/6111259341197
